Temperature (K),Magnetic Field (T),Average Up Spins,Magnetization (J/T),Susceptibility (J/TÂ²),Free Energy (J)
1.0,0.0,500.0,0.0,2.0764890521293488e-21,-9.569929616929081e-21
1.2742749857031337,0.0,500.0,0.0,1.629545486984162e-21,-1.21947219257923e-20
1.6237767391887217,0.0,500.0,0.0,1.2788020680520483e-21,-1.5539429107642675e-20
2.0691380811147897,0.0,500.0,0.0,1.0035526730099127e-21,-1.9801505803976233e-20
2.636650898730358,0.0,500.0,0.0,7.875479659173889e-22,-2.5232563525262334e-20
3.3598182862837818,0.0,500.0,0.0,6.180361183836838e-22,-3.2153224525407074e-20
4.281332398719393,0.0,500.0,0.0,4.850100059389119e-22,-4.097204972242275e-20
5.455594781168519,0.0,500.0,0.0,3.8061643788078253e-22,-5.2209658074268334e-20
6.951927961775605,0.0,500.0,0.0,2.986925445066017e-22,-6.652946129615378e-20
8.858667904100825,0.0,500.0,0.0,2.344019523712033e-22,-8.477682834199355e-20
11.28837891684689,0.0,500.0,0.0,1.839492691931501e-22,-1.0802899172345086e-19
14.38449888287663,0.0,500.0,0.0,1.4435602303818944e-22,-1.3765864188392433e-19
18.329807108324356,0.0,500.0,0.0,1.1328482835950444e-22,-1.7541496391855045e-19
23.357214690901213,0.0,500.0,0.0,8.890139854467508e-23,-2.2352690063942654e-19
29.76351441631318,0.0,500.0,0.0,6.976625888612265e-23,-2.848347381165711e-19
37.926901907322495,0.0,500.0,0.0,5.474976725500597e-23,-3.629577818412496e-19
48.32930238571752,0.0,500.0,0.0,4.2965425727787907e-23,-4.625080222665994e-19
61.584821106602604,0.0,500.0,0.0,3.371754622027676e-23,-5.8936240346135535e-19
78.47599703514611,0.0,500.0,0.0,2.6460180572148405e-23,-7.510097682446835e-19
100.0,0.0,500.0,0.0,2.0764890521293488e-23,-9.56992961692908e-19
1.0,0.25,583.1836778627913,1.542890856999054e-21,6.171563427996216e-21,-9.763692337713554e-21
1.2742749857031337,0.25,565.5128799974565,1.215132898192823e-21,4.860531592771292e-21,-1.2347051663413298e-20
1.6237767391887217,0.25,551.5255988421936,9.556968073250076e-22,3.82278722930003e-21,-1.5659103702253265e-20
2.0691380811147897,0.25,540.4904204719155,7.51016318913089e-22,3.004065275652356e-21,-1.9895485765111158e-20
2.636650898730358,0.25,531.8020063000913,5.898636128540936e-22,2.3594544514163744e-21,-2.5306346285037136e-20
3.3598182862837818,0.25,524.9698883731447,4.631414895450885e-22,1.852565958180354e-21,-3.22111413035297e-20
4.281332398719393,0.25,519.6016322805374,3.635710755394075e-22,1.45428430215763e-21,-4.101750775628298e-20
5.455594781168519,0.25,515.3856053118993,2.853722073251087e-22,1.1414888293004349e-21,-5.22453352320404e-20
6.951927961775605,0.25,512.0754715952385,2.239758471484831e-22,8.959033885939325e-22,-6.655746099941252e-20
8.858667904100825,0.25,509.4770546448028,1.7578040955180272e-22,7.031216382072109e-22,-8.479880220904489e-20
11.28837891684689,0.25,507.4375553014105,1.3795177573056193e-22,5.518071029222477e-22,-1.0804623633140869e-19
14.38449888287663,0.25,505.8368610654623,1.0826209904219478e-22,4.330483961687791e-22,-1.376721749536888e-19
18.329807108324356,0.25,504.5806148517623,8.496124427048672e-23,3.398449770819469e-22,-1.7542558422264503e-19
23.357214690901213,0.25,503.59472180863645,6.667490010658888e-23,2.666996004263555e-22,-2.2353523507373944e-19
29.76351441631318,0.25,502.82101245159737,5.2324138952228003e-23,2.0929655580891201e-22,-2.848412786686408e-19
37.926901907322495,0.25,502.21382667186117,4.106205710968099e-23,1.6424822843872395e-22,-3.6296291461515896e-19
48.32930238571752,0.25,501.73732691463636,3.2223939612675123e-23,1.288957584507005e-22,-4.625120502671561e-19
61.584821106602604,0.25,501.36338672579905,2.5288096990120707e-23,1.0115238796048283e-22,-5.893655644773963e-19
78.47599703514611,0.25,501.06993234519325,1.984510513864443e-23,7.938042055457772e-23,-7.510122488847189e-19
100.0,0.25,500.83964056781264,1.5573653251788794e-23,6.229461300715518e-23,-9.569949084004793e-19
1.0,0.5,,,,-inf
1.2742749857031337,0.5,,,,-inf
1.6237767391887217,0.5,,,,-inf
2.0691380811147897,0.5,580.453236934879,1.4922466386681355e-21,2.984493277336271e-21,-2.0176197046496938e-20
2.636650898730358,0.5,563.3477411871095,1.1749739035385066e-21,2.3499478070770133e-21,-2.552709879587422e-20
3.3598182862837818,0.5,549.8155377266766,9.239785937543967e-22,1.8479571875087935e-21,-3.2384603110665874e-20
4.281332398719393,0.5,539.1431056803963,7.260263241599902e-22,1.4520526483199803e-21,-4.115374223656393e-20
5.455594781168519,0.5,530.742101929574,5.702045065897387e-22,1.1404090131794774e-21,-5.2352299174242536e-20
6.951927961775605,0.5,524.1368649281685,4.476905706876695e-22,8.95381141375339e-22,-6.664142745604461e-20
8.858667904100825,0.5,518.9473023147639,3.5143456333424034e-22,7.028691266684807e-22,-8.486470802444773e-20
11.28837891684689,0.5,514.871819931354,2.7584251608675447e-22,5.516850321735089e-22,-1.0809796252473489e-19
14.38449888287663,0.5,511.672131502002,2.164946950991332e-22,4.329893901982664e-22,-1.3771277047477397e-19
18.329807108324356,0.5,509.1604608831756,1.6990822846114056e-22,3.398164569222811e-22,-1.754574433523191e-19
23.357214690901213,0.5,507.1890720278023,1.3334290797167701e-22,2.6668581594335403e-22,-2.2356023751511846e-19
29.76351441631318,0.5,505.6418453094643,1.0464494679994412e-22,2.0928989359988825e-22,-2.848608999084528e-19
37.926901907322495,0.5,504.42756654520235,8.212250428041325e-23,1.642450085608265e-22,-3.6297831273564216e-19
48.32930238571752,0.5,503.47461187952143,6.444710114136354e-23,1.2889420228272708e-22,-4.625241341715652e-19
61.584821106602604,0.5,502.7267531773881,5.057581793419457e-23,1.0115163586838914e-22,-5.893750474785132e-19
78.47599703514611,0.5,502.1398548919462,3.9690028535817857e-23,7.938005707163571e-23,-7.510196907821076e-19
100.0,0.5,501.67927640009077,3.114721866888362e-23,6.229443733776724e-23,-9.570007485122145e-19
1.0,0.75,,,,-inf
1.2742749857031337,0.75,,,,-inf
1.6237767391887217,0.75,,,,-inf
2.0691380811147897,0.75,,,,-inf
2.636650898730358,0.75,0.0,-9.274e-21,-1.2365333333333334e-20,-inf
3.3598182862837818,0.75,574.4151694308185,1.3802525626028222e-21,1.8403367501370963e-21,-3.267275008966516e-20
4.281332398719393,0.75,558.5649975877141,1.0862635752569204e-21,1.448351433675894e-21,-4.1380336010119647e-20
5.455594781168519,0.75,546.0406010308204,8.539610679196573e-22,1.1386147572262097e-21,-5.253034781798936e-20
6.951927961775605,0.75,536.1701673129412,6.708842633204334e-22,8.945123510939113e-22,-6.678126285878234e-20
8.858667904100825,0.75,528.4039555776743,5.2683656805470315e-22,7.024487574062709e-22,-8.49744984762811e-20
11.28837891684689,0.75,522.2995090394859,4.136112936643842e-22,5.514817248858456e-22,-1.081841474252882e-19
14.38449888287663,0.75,517.5042224141012,3.2466831733674816e-22,4.328910897823309e-22,-1.3778041738657496e-19
18.329807108324356,0.75,513.7387697899663,2.548267020642957e-22,3.3976893608572765e-22,-1.7551053596094016e-19
23.357214690901213,0.75,510.7826792216574,1.999971342033018e-22,2.666628456044024e-22,-2.2360190537924e-19
29.76351441631318,0.75,508.46231902560095,1.569590932868464e-22,2.092787910491285e-22,-2.848936005869226e-19
37.926901907322495,0.75,506.64113283511597,1.2317973182573098e-22,1.6423964243430797e-22,-3.6300397559899563e-19
48.32930238571752,0.75,505.2118129489563,9.666870657724186e-23,1.2889160876965582e-22,-4.62544273688052e-19
61.584821106602604,0.75,504.09007908176284,7.586278680853711e-23,1.0115038241138282e-22,-5.893908523236908e-19
78.47599703514611,0.75,503.2097578421777,5.953458845671161e-23,7.937945127561548e-23,-7.510320938686972e-19
100.0,0.75,502.51890276140676,4.6720608418572665e-23,6.229414455809689e-23,-9.57010481995175e-19
1.0,1.0,,,,-inf
1.2742749857031337,1.0,,,,-inf
1.6237767391887217,1.0,,,,-inf
2.0691380811147897,1.0,,,,-inf
2.636650898730358,1.0,,,,-inf
3.3598182862837818,1.0,0.0,-9.274e-21,-9.274e-21,-inf
4.281332398719393,1.0,577.8093388622373,1.443207617216777e-21,1.443207617216777e-21,-4.16965994798482e-20
5.455594781168519,1.0,561.2526500176602,1.1361141525275622e-21,1.1361141525275622e-21,-5.2779146051815054e-20
6.951927961775605,1.0,548.1614965686013,8.93299438354416e-22,8.93299438354416e-22,-6.697680470122363e-20
8.858667904100825,1.0,537.8402659674863,7.018612531649358e-22,7.018612531649358e-22,-8.51280948621759e-20
11.28837891684689,1.0,529.7173493958383,5.51197396594008e-22,5.51197396594008e-22,-1.0830475294778409e-19
14.38449888287663,1.0,523.3315483690403,4.327535591489599e-22,4.327535591489599e-22,-1.3787509726813971e-19
18.329807108324356,1.0,518.3147742992754,3.3970243370296064e-22,3.3970243370296064e-22,-1.7558485314144123e-19
23.357214690901213,1.0,514.3751722614871,2.6663069510606344e-22,2.6663069510606344e-22,-2.2366023436008564e-19
29.76351441631318,1.0,511.2822541434449,2.0926324985261606e-22,2.0926324985261606e-22,-2.8493937862259575e-19
37.926901907322495,1.0,508.85443878391357,1.6423213056402882e-22,1.6423213056402882e-22,-3.6303990219915234e-19
48.32930238571752,1.0,506.94888818534366,1.2888797806175425e-22,1.2888797806175425e-22,-4.625724683303572e-19
61.584821106602604,1.0,505.453344168331,1.011486276342034e-22,1.011486276342034e-22,-5.894129787779132e-19
78.47599703514611,1.0,504.2796313985239,7.937860317982164e-23,7.937860317982164e-23,-7.510494580309027e-19
100.0,1.0,503.35851491654665,6.229373467210733e-23,6.229373467210733e-23,-9.570241087944656e-19
